Site,Lat,Lon,N_vel,N_vel_std,E_vel,E_vel_std,N_disp,N_disp_std,E_disp,E_disp_std,N_WRMS,E_WRMS
BON2 ,9.764,-85.203,21.4,1.6,15.2,3.7,-11.1,0.6,-14.6,1.9,3,8.7
ELVI,10.394,-85.446,30.5,11.1,-2.3,15.3,-4.4,2.5,-8.1,14,3.9,12.7
GRZA,9.915,-85.636,30.6,3.3,25.3,8.6,-9,0.7,-17.4,2.4,2.8,8.6
HATI,10.291,-85.71,19.1,4.1,5,4.9,-5.5,0.8,-5.4,5.8,3.2,8.6
HUA2,10.017,-85.352,21.9,1.4,17.2,2.1,-4.7,1.4,-3.8,5.3,2.7,9.4
INDI,9.864,-85.585,29,1.5,15.8,2.2,-6.4,1,-11.9,2.9,3,9.1
LEPA,9.945,-85.031,18,3.3,17.2,8.4,-8,0.9,-15.4,2.5,3.8,9.2
LMNL,10.268,-85.053,20.2,3.2,5.6,10.4,-6.7,2.4,-7.2,9.3,3,10.4
PNEG,10.195,-85.829,16.7,1.7,12.1,4.7,-4.6,0.7,-10.8,2.2,2.9,9.4
PUJE,10.11,-85.27,18.6,1.4,16.2,3.7,-1.8,1.1,-12.2,3.1,2.7,8.8
PUMO,10.064,-84.967,15.7,4,2.5,14.3,-4.7,1.9,-20.4,7.5,2.9,10.6
QSEC,9.84,-85.357,25.5,3.4,16.6,8.9,-8.2,0.9,-21.2,2.9,2.9,8.7